Time,Key,Action
1709420515.4302423,Key.enter,r
1709420515.7772536,'a',p
1709420515.8610497,'s',p
1709420515.932404,'a',r
1709420516.003775,'s',r
1709420516.0487816,Key.space,p
1709420516.1670418,Key.space,r
1709420516.1990924,'t',p

<<-- SNIP -->>
(this is an example file)
